t	x	
0.004030	5.342761	
0.004040	5.346850	
0.004050	5.351047	
0.004060	5.355262	
0.004070	5.359405	
0.004080	5.363392	
0.004090	5.367143	
0.004100	5.370586	
0.004110	5.373665	
0.004120	5.376308	
0.004130	5.378465	
0.004140	5.380113	
0.004150	5.381207	
0.004160	5.381642	
0.004170	5.381539	
0.004180	5.381020	
0.004190	5.380080	
0.004200	5.378705	
0.004210	5.376916	
0.004220	5.374772	
0.004230	5.372321	
0.004240	5.369619	
0.004250	5.366727	
0.004260	5.363708	
0.004270	5.360629	
0.004280	5.357554	
0.004290	5.354549	
0.004300	5.351676	
0.004310	5.348995	
0.004320	5.346560	
0.004330	5.344417	
0.004340	5.342609	
0.004350	5.341152	
0.004360	5.340087	
0.004370	5.339460	
0.004380	5.339275	
0.004390	5.339464	
0.004400	5.339956	
0.004410	5.340751	
0.004420	5.341851	
0.004430	5.343234	
0.004440	5.344871	
0.004450	5.346715	
0.004460	5.348724	
0.004470	5.350853	
0.004480	5.353055	
0.004490	5.355283	
0.004500	5.357489	
0.004510	5.359627	
0.004520	5.361653	
0.004530	5.363527	
0.004540	5.365210	
0.004550	5.366682	
0.004560	5.367907	
0.004570	5.368862	
0.004580	5.369520	
0.004590	5.369849	
0.004600	5.369906	
0.004610	5.369698	
0.004620	5.369264	
0.004630	5.368623	
0.004640	5.367774	
0.004650	5.366735	
0.004660	5.365528	
0.004670	5.364182	
0.004680	5.362727	
0.004690	5.361196	
0.004700	5.359623	
0.004710	5.358043	
0.004720	5.356487	
0.004730	5.354988	
0.004740	5.353578	
0.004750	5.352282	
0.004760	5.351128	
0.004770	5.350137	
0.004780	5.349329	
0.004790	5.348723	
0.004800	5.348345	
0.004810	5.348162	
0.004820	5.348170	
0.004830	5.348362	
0.004840	5.348725	
0.004850	5.349226	
0.004860	5.349864	
0.004870	5.350628	
0.004880	5.351501	
0.004890	5.352465	
0.004900	5.353496	
0.004910	5.354574	
0.004920	5.355673	
0.004930	5.356770	
0.004940	5.357843	
0.004950	5.358870	
0.004960	5.359829	
0.004970	5.360701	
0.004980	5.361469	
0.004990	5.362118	
0.005000	5.362633	
0.005010	5.362999	
0.005020	5.363231	
0.005030	5.363329	
0.005040	5.363296	
0.005050	5.363138	
0.005060	5.362865	
0.005070	5.362486	
0.005080	5.362021	
0.005090	5.361476	
0.005100	5.360863	
0.005110	5.360194	
0.005120	5.359483	
0.005130	5.358747	
0.005140	5.358001	
0.005150	5.357262	
0.005160	5.356543	
0.005170	5.355861	
0.005180	5.355229	
0.005190	5.354661	
0.005200	5.354167	
0.005210	5.353759	
0.005220	5.353440	
0.005230	5.353209	
0.005240	5.353069	
0.005250	5.353017	
0.005260	5.353052	
0.005270	5.353170	
0.005280	5.353363	
0.005290	5.353627	
0.005300	5.353951	
0.005310	5.354327	
0.005320	5.354744	
0.005330	5.355194	
0.005340	5.355666	
0.005350	5.356151	
0.005360	5.356639	
0.005370	5.357119	
0.005380	5.357582	
0.005390	5.358018	
0.005400	5.358417	
0.005410	5.358773	
0.005420	5.359081	
0.005430	5.359336	
0.005440	5.359537	
0.005450	5.359680	
0.005460	5.359765	
0.005470	5.359794	
0.005480	5.359767	
0.005490	5.359687	
0.005500	5.359558	
0.005510	5.359386	
0.005520	5.359174	
0.005530	5.358930	
0.005540	5.358659	
0.005550	5.358368	
0.005560	5.358064	
0.005570	5.357753	
0.005580	5.357443	
0.005590	5.357140	
0.005600	5.356848	
0.005610	5.356575	
0.005620	5.356325	
0.005630	5.356101	
0.005640	5.355908	
0.005650	5.355748	
0.005660	5.355623	
0.005670	5.355535	
0.005680	5.355483	
0.005690	5.355467	
0.005700	5.355486	
0.005710	5.355538	
0.005720	5.355621	
0.005730	5.355731	
0.005740	5.355866	
0.005750	5.356022	
0.005760	5.356194	
0.005770	5.356378	
0.005780	5.356571	
0.005790	5.356767	
0.005800	5.356963	
0.005810	5.357155	
0.005820	5.357339	
0.005830	5.357511	
0.005840	5.357668	
0.005850	5.357809	
0.005860	5.357930	
0.005870	5.358029	
0.005880	5.358107	
0.005890	5.358162	
0.005900	5.358194	
0.005910	5.358203	
0.005920	5.358189	
0.005930	5.358155	
0.005940	5.358102	
0.005950	5.358031	
0.005960	5.357945	
0.005970	5.357846	
0.005980	5.357737	
0.005990	5.357620	
0.006000	5.357498	
0.006010	5.357374	
0.006020	5.357250	
0.006030	5.357129	
0.006040	5.357013	
0.006050	5.356905	
0.006060	5.356806	
0.006070	5.356718	
0.006080	5.356642	
0.006090	5.356579	
0.006100	5.356531	
0.006110	5.356497	
0.006120	5.356478	
0.006130	5.356473	
0.006140	5.356482	
0.006150	5.356504	
0.006160	5.356539	
0.006170	5.356584	
0.006180	5.356639	
0.006190	5.356702	
0.006200	5.356771	
0.006210	5.356845	
0.006220	5.356923	
0.006230	5.357001	
0.006240	5.357079	
0.006250	5.357156	
0.006260	5.357229	
0.006270	5.357297	
0.006280	5.357359	
0.006290	5.357415	
0.006300	5.357462	
0.006310	5.357501	
0.006320	5.357531	
0.006330	5.357552	
0.006340	5.357564	
0.006350	5.357566	
0.006360	5.357560	
0.006370	5.357546	
0.006380	5.357524	
0.006390	5.357495	
0.006400	5.357460	
0.006410	5.357420	
0.006420	5.357375	
0.006430	5.357328	
0.006440	5.357280	
0.006450	5.357230	
0.006460	5.357180	
0.006470	5.357132	
0.006480	5.357086	
0.006490	5.357043	
0.006500	5.357004	
0.006510	5.356969	
0.006520	5.356940	
0.006530	5.356915	
0.006540	5.356896	
0.006550	5.356884	
0.006560	5.356876	
0.006570	5.356875	
0.006580	5.356879	
0.006590	5.356889	
0.006600	5.356903	
0.006610	5.356922	
0.006620	5.356944	
0.006630	5.356969	
0.006640	5.356997	
0.006650	5.357027	
0.006660	5.357058	
0.006670	5.357090	
0.006680	5.357121	
0.006690	5.357151	
0.006700	5.357180	
0.006710	5.357207	
0.006720	5.357232	
0.006730	5.357254	
0.006740	5.357272	
0.006750	5.357288	
0.006760	5.357299	
0.006770	5.357307	
0.006780	5.357311	
0.006790	5.357312	
0.006800	5.357309	
