t	u	
0.005840	9.999945	
0.005850	9.999946	
0.005860	9.999947	
0.005870	9.999948	
0.005880	9.999949	
0.005890	9.999950	
0.005900	9.999951	
0.005910	9.999952	
0.005920	9.999953	
0.005930	9.999954	
0.005940	9.999955	
0.005950	9.999956	
0.005960	9.999957	
0.005970	9.999958	
0.005980	9.999959	
0.005990	9.999960	
0.006000	9.999961	
0.006010	9.999961	
0.006020	9.999962	
0.006030	9.999963	
0.006040	9.999964	
0.006050	9.999964	
0.006060	9.999965	
0.006070	9.999966	
0.006080	9.999967	
0.006090	9.999967	
0.006100	9.999968	
0.006110	9.999969	
0.006120	9.999969	
0.006130	9.999970	
0.006140	9.999970	
0.006150	9.999971	
0.006160	9.999972	
0.006170	9.999972	
0.006180	9.999973	
0.006190	9.999973	
0.006200	9.999974	
0.006210	9.999974	
0.006220	9.999975	
0.006230	9.999975	
0.006240	9.999976	
0.006250	9.999976	
0.006260	9.999977	
0.006270	9.999977	
0.006280	9.999978	
0.006290	9.999978	
0.006300	9.999979	
0.006310	9.999979	
0.006320	9.999980	
0.006330	9.999980	
0.006340	9.999980	
0.006350	9.999981	
0.006360	9.999981	
0.006370	9.999982	
0.006380	9.999982	
0.006390	9.999982	
0.006400	9.999983	
0.006410	9.999983	
0.006420	9.999983	
0.006430	9.999984	
0.006440	9.999984	
0.006450	9.999984	
0.006460	9.999985	
0.006470	9.999985	
0.006480	9.999985	
0.006490	9.999986	
0.006500	9.999986	
0.006510	9.999986	
0.006520	9.999986	
0.006530	9.999987	
0.006540	9.999987	
0.006550	9.999987	
0.006560	9.999988	
0.006570	9.999988	
0.006580	9.999988	
0.006590	9.999988	
0.006600	9.999989	
0.006610	9.999989	
0.006620	9.999989	
0.006630	9.999989	
0.006640	9.999989	
0.006650	9.999990	
0.006660	9.999990	
0.006670	9.999990	
0.006680	9.999990	
0.006690	9.999990	
0.006700	9.999991	
0.006710	9.999991	
0.006720	9.999991	
0.006730	9.999991	
0.006740	9.999991	
0.006750	9.999992	
0.006760	9.999992	
0.006770	9.999992	
0.006780	9.999992	
0.006790	9.999992	
0.006800	9.999992	
0.006810	9.999993	
0.006820	9.999993	
0.006830	9.999993	
0.006840	9.999993	
0.006850	9.999993	
0.006860	9.999993	
0.006870	9.999993	
0.006880	9.999994	
0.006890	9.999994	
0.006900	9.999994	
0.006910	9.999994	
0.006920	9.999994	
0.006930	9.999994	
0.006940	9.999994	
0.006950	9.999994	
0.006960	9.999995	
0.006970	9.999995	
0.006980	9.999995	
0.006990	9.999995	
0.007000	9.999995	
0.007010	9.999995	
0.007020	9.999995	
0.007030	9.999995	
0.007040	9.999995	
0.007050	9.999995	
0.007060	9.999996	
0.007070	9.999996	
0.007080	9.999996	
0.007090	9.999996	
0.007100	9.999996	
0.007110	9.999996	
0.007120	9.999996	
0.007130	9.999996	
0.007140	9.999996	
0.007150	9.999996	
0.007160	9.999996	
0.007170	9.999996	
0.007180	9.999997	
0.007190	9.999997	
0.007200	9.999997	
0.007210	9.999997	
0.007220	9.999997	
0.007230	9.999997	
0.007240	9.999997	
0.007250	9.999997	
0.007260	9.999997	
0.007270	9.999997	
0.007280	9.999997	
0.007290	9.999997	
0.007300	9.999997	
0.007310	9.999997	
0.007320	9.999997	
0.007330	9.999997	
0.007340	9.999998	
0.007350	9.999998	
0.007360	9.999998	
0.007370	9.999998	
0.007380	9.999998	
0.007390	9.999998	
0.007400	9.999998	
0.007410	9.999998	
0.007420	9.999998	
0.007430	9.999998	
0.007440	9.999998	
0.007450	9.999998	
0.007460	9.999998	
0.007470	9.999998	
0.007480	9.999998	
0.007490	9.999998	
0.007500	9.999998	
0.007510	9.999998	
0.007520	9.999998	
0.007530	9.999998	
0.007540	9.999998	
0.007550	9.999998	
