  t                         w                         alpha
  5.60000000000000012E-002   3.7513254079502683       0.24318734650710822     
  5.70000000000000021E-002   3.7818701838575124       0.25030969483660609     
  5.80000000000000029E-002   3.8116673889258879       0.25748906441291169     
  5.90000000000000038E-002   3.8407353254027345       0.26472405922522785     
  5.99999999999999978E-002   3.8690918472125455       0.27201331745875118     
  6.09999999999999987E-002   3.8967548207102882       0.27935547635053920     
  6.19999999999999996E-002   3.9237407782871117       0.28674927488624102     
  6.30000000000000004E-002   3.9500662896686838       0.29419344920380142     
  6.40000000000000013E-002   3.9757475190630021       0.30168676637217773     
  6.50000000000000022E-002   4.0008002350844007       0.30922802363438334     
  6.60000000000000031E-002   4.0252398204346580       0.31681604766905630     
  6.70000000000000040E-002   4.0490812813472354       0.32444969387009709     
  6.80000000000000049E-002   4.0723392568003751       0.33212784564393638     
  6.90000000000000058E-002   4.0950280275047248       0.33984941372400029     
  7.00000000000000067E-002   4.1171615246710411       0.34761333550195056     
  7.10000000000000075E-002   4.1387533385633182       0.35541857437529117     
  7.20000000000000084E-002   4.1598167268426103       0.36326411911094075     
  7.29999999999999954E-002   4.1803646227066524       0.37114898322437906     
  7.39999999999999963E-002   4.2004096428303184       0.37907220437398681     
  7.49999999999999972E-002   4.2199640951117265       0.38703284377020730     
  7.59999999999999981E-002   4.2390399862288106       0.39502998559916713     
  7.69999999999999990E-002   4.2576490290109588       0.40306273646040031     
  7.79999999999999999E-002   4.2758026496302612       0.41113022481833522     
  7.90000000000000008E-002   4.2935119946167539       0.41923160046720237     
  8.00000000000000017E-002   4.3107879377020240       0.42736603400903633     
  8.10000000000000026E-002   4.3276410864953094       0.43553271634445445     
  8.20000000000000034E-002   4.3440817889962364       0.44373085817589453     
  8.30000000000000043E-002   4.3601201399481742       0.45195968952301063     
  8.40000000000000052E-002   4.3757659870361145       0.46021845924992733     
  8.50000000000000061E-002   4.3910289369328854       0.46850643460406322     
  8.60000000000000070E-002   4.4059183611973927       0.47682290076623896     
  8.70000000000000079E-002   4.4204434020285239       0.48516716041179669     
  8.79999999999999949E-002   4.4346129778782490       0.49353853328245934     
  8.89999999999999958E-002   4.4484357883057042       0.50193635581608331     
  8.99999999999999967E-002   4.4619203244644918       0.51035998034673513     
  9.09999999999999976E-002   4.4750748723752398       0.51880877485507582     
  9.19999999999999984E-002   4.4879075148361505       0.52728212282263309     
  9.29999999999999993E-002   4.5004261364112583       0.53577942285132141     
  9.40000000000000002E-002   4.5126384282961416       0.54430008829230592     
  9.50000000000000011E-002   4.5245518930641779       0.55284354688398152     
  9.60000000000000020E-002   4.5361738492962038       0.56140924039884332     
  9.70000000000000029E-002   4.5475114360964843       0.56999662429902909     
  9.80000000000000038E-002   4.5585540502083006       0.57860650735193164     
  9.90000000000000047E-002   4.5693272291172384       0.58723694167623663     
  0.10000000000000001        4.5798375441568275       0.59588742604100797     
  0.10100000000000001        4.5900914064214806       0.60455747143760963     
  0.10200000000000001        4.6000950706735404       0.61324660078169158     
  0.10300000000000001        4.6098546391550821       0.62195434862244536     
  0.10400000000000001        4.6193760653067688       0.63068026085894613     
  0.10500000000000000        4.6286651573960294       0.63942389446341152     
  0.10600000000000000        4.6377275820567876       0.64818481721120913     
  0.10700000000000000        4.6465688677428600       0.65696260741744505     
  0.10800000000000000        4.6551944080971754       0.66575685367997695     
  0.10900000000000000        4.6636094652388351       0.67456715462869199     
  0.11000000000000000        4.6718191729700296       0.68339311868089803     
  0.11100000000000000        4.6798285399047588       0.69223436380267900     
  0.11200000000000000        4.6876424525212741       0.70109051727606897     
  0.11300000000000000        4.6952656781400925       0.70996121547190316     
  0.11400000000000000        4.7027028678293989       0.71884610362820700     
  0.11500000000000000        4.7099585592396096       0.72774483563398906     
  0.11600000000000001        4.7170371793688233       0.73665707381830448     
