  t                          alpha1                    alpha2                    alpha3                    alpha4                    alpha5
  0.11500000000000000       0.66955946320601945       0.61201574142595905       0.55447203652601240       0.49692831658240866       0.43938459120770718     
  0.11600000000000001       0.67846267106988101       0.62022608151291136       0.56198951665432684       0.50375292790894965       0.44551633376916655     
  0.11700000000000001       0.68738048054260370       0.62845015997156239       0.56951986356613693       0.51058954376112109       0.45165922516951540     
  0.11800000000000001       0.69631250320353266       0.63668761134484575       0.57706274313299744       0.51743785199559922       0.45781296873173866     
  0.11900000000000001       0.70525836096412320       0.64493807989694407       0.58461782197145784       0.52429754158166109       0.46397726885254120     
  0.12000000000000000       0.71421768579312772       0.65320121935472641       0.59218477556615090       0.53116830976205587       0.47015185141122734     
  0.12100000000000000       0.72319011944909029       0.66147669265605913       0.59976328803392076       0.53804986183294834       0.47633644288315097     
  0.12200000000000000       0.73217531321995410       0.66976417170480873       0.60735305189422295       0.54494191092971533       0.48253077701948099     
  0.12300000000000000       0.74117292766959331       0.67806333713236078       0.61495376784562894       0.55184417781843631       0.48873459465368008     
  0.12400000000000000       0.75018263239108574       0.68637387806548134       0.62256514454827361       0.55875639069293148       0.49494764351312887     
  0.12500000000000000       0.75920410576654773       0.69469549190034974       0.63018689841209141       0.56567828497719364       0.50116967803575974     
  0.12600000000000000       0.76823703473335303       0.70302788408260253       0.63781875339067862       0.57260960313307707       0.50740045919156695     
  0.12700000000000000       0.77728111455657156       0.71137076789322518       0.64546044078064224       0.57955009447309869       0.51363975430886155     
  0.12800000000000000       0.78633604860746154       0.71972386424014034       0.65311169902628274       0.58649951497821773       0.51988733690514988     
  0.12900000000000000       0.79540154814784825       0.72808690145533594       0.66077227352947188       0.59345762712046279       0.52614298652250746     
  0.13000000000000000       0.80447733212023975       0.73645961509739077       0.66844191646458750       0.60042419969027494       0.53240648856733153     
  0.13100000000000001       0.81356312694352606       0.74484174775925205       0.67612038659836771       0.60739900762844257       0.53867763415435543     
  0.13200000000000001       0.82265866631410856       0.75323304888112308       0.68380744911455982       0.61438183186250717       0.54495621995481225     
  0.13300000000000001       0.83176369101232339       0.76163327456833108       0.69150287544322953       0.62137245914751815       0.55124204804863508     
  0.13400000000000001       0.84087794871400734       0.77004218741403496       0.69920644309461377       0.62837068191102541       0.55753492578058950     
  0.13500000000000001       0.85000119380708139       0.77845955632665176       0.70691793549738724       0.63537629810219221       0.56383466562023166     
  0.13600000000000001       0.85913318721300924       0.78688515636187295       0.71463714184123528       0.64238911104492280       0.57014108502559158     
  0.13700000000000001       0.86827369621300299       0.79531876855914485       0.72236385692361205       0.64940892929489524       0.57645400631048038     
  0.13800000000000001       0.87742249427885743       0.80376017978250269       0.73009788100057194       0.65643556650039747       0.58277325651532974     
  0.13900000000000001       0.88657936090827594       0.81220918256563646       0.73783901964157528       0.66346884126686512       0.58909866728146376     
  0.14000000000000001       0.89574408146458462       0.82066557496107573       0.74558708358814740       0.67050857702501998       0.59543007472871534     
  0.14100000000000001       0.90491644703700280       0.82912916039338969       0.75334188861630458       0.67755460190251815       0.60176731933629946     
  0.14200000000000002       0.91409625414973161       0.83759974752146671       0.76110325540263224       0.68460674859901260       0.60811024582685391     
  0.14300000000000002       0.92328330468004316       0.84607714994862282       0.76887100938318154       0.69166485426938096       0.61445870305356176     
  0.14400000000000002       0.93247740578784755       0.85456118622770982       0.77664498050331021       0.69872876036841880       0.62081254389083740     
  0.14499999999999999       0.94167836977465191       0.86305167974951758       0.78442500324264341       0.70579831246443026       0.62717162511559510     
  0.14599999999999999       0.95088601394629424       0.87154845861361097       0.79221091649404174       0.71287336024342107       0.63353580720650060     
  0.14699999999999999       0.96010016047934288       0.88005135550261904       0.80000256344577525       0.71995375739916090       0.63990495436235395     
  0.14799999999999999       0.96932063629107212       0.88856020755988574       0.80779979146685210       0.72703936152618776       0.64627893440276907     
  0.14899999999999999       0.97854766432519180       0.89707485627039119       0.81560245199541059       0.73413003401566934       0.65265761867150673     
  0.14999999999999999       0.98778066088422700       0.90559550347457762       0.82341040043009717       0.74122563995405288       0.65904088194239374     
  0.15100000000000000       0.99701946780804274       0.91412161707280504       0.83122381945419199       0.74832604802442204       0.66542860232775669     
  0.15200000000000000        1.0062639311265242       0.92265305221055482       0.83904222519511240       0.75543142360723659       0.67182066118930328     
  0.15300000000000000        1.0155139009485945       0.93118966787084223       0.84686548550911578       0.76254132783309847       0.67821720838279653     
  0.15400000000000000        1.0247692313541692       0.93973132677256754       0.85469347175325960       0.76965564069672066       0.68461784694577532     
  0.15500000000000000        1.0340297802889711       0.94827789527156048       0.86252605869267340       0.77677424537204276       0.69102246846036530     
  0.15600000000000000        1.0432954094621343       0.95682924326424446       0.87036312441028651       0.78389702812802131       0.69743096738094323     
  0.15700000000000000        1.0525659842465176       0.96538524409385429       0.87820455021894417       0.79102387824664844       0.70384324095805584     
  0.15800000000000000        1.0618413735816592       0.97394577445913477       0.88605022057585481       0.79815468794314304       0.71025918916435549     
  0.15900000000000000        1.0711214498792998       0.98251071432545856       0.89390002299929883       0.80528935228825360       0.71667871462249610     
  0.16000000000000000        1.0804060889314095       0.99107994683830025       0.90175384798754832       0.81242776913261960       0.72310172253493876     
  0.16100000000000000        1.0896951698206510       0.99965335823899704       0.90961158893992911       0.81956983903313829       0.72952812061561800     
  0.16200000000000001        1.0989885748332113        1.0082308377827449       0.91747314207997721       0.82671546518127759       0.73595781902341617     
  0.16300000000000001        1.1082861893739475        1.0168122776587660       0.92533840638062881       0.83386455333329135       0.74239073029739899     
  0.16400000000000001        1.1175879018837711        1.0253975729125877       0.93320728349139126       0.84101701174228105       0.74882676929376946     
  0.16500000000000001        1.1268936037592316        1.0339866213703826       0.94107967766744371       0.84817275109205648       0.75526585312448813     
  0.16600000000000001        1.1362031892742204        1.0425793235653111       0.94895549570061577       0.85533168443274943       0.76170790109752184     
  0.16700000000000001        1.1455165555037525        1.0511755826658171       0.95683464685219377       0.86249372711813099       0.76815283465867323     
  0.16800000000000001        1.1548336022497678        1.0597753044058200       0.96471704278750503       0.86965879674459134       0.77460057733495002     
  0.16900000000000001        1.1641542319688956        1.0683783970167555       0.97260259751223921       0.87682681309173294       0.78105105467943814     
  0.17000000000000001        1.1734783497021313        1.0769847711614196       0.98049122731045024       0.88399769806453987       0.78750419421762941     
  0.17100000000000001        1.1828058630063807        1.0855943398695618       0.98838285068420595       0.89117137563707560       0.79395992539517579     
  0.17200000000000001        1.1921366818878110        1.0942070184751846       0.99627738829483092       0.89834777179767622       0.80041817952702443     
  0.17300000000000001        1.2014707187369713        1.1028227245555049        1.0041747629057109       0.90552681449559091       0.80687888974790067     
  0.17400000000000002        1.2108078882656303        1.1114413778715311        1.0120748993266087       0.91270843358903897       0.81334199096410220     
  0.17500000000000002        1.2201481074452869        1.1200629003102140        1.0199777243594543       0.91989256079464088       0.81980741980657212     
  0.17599999999999999        1.2294912954473090        1.1286872158281307        1.0278831667455726       0.92707912963818928       0.82627511458521008     
  0.17699999999999999        1.2388373735846592        1.1373142503966607        1.0357911571143108       0.93426807540672385       0.83274501524440014     
  0.17799999999999999        1.2481862652551627        1.1459439319486100        1.0437016279330200       0.94145933510187463       0.83921706331971058     
  0.17899999999999999        1.2575378958862764        1.1545761903262546        1.0516145134583694       0.94865284739444267       0.84569120189574387     
  0.17999999999999999        1.2668921928813255        1.1632109572307565        1.0595297496889442       0.95584855258018397       0.85216737556510258     
