  t                         U1                        U2                        U3                        U4                        U5
  0.52900000000000003        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.53000000000000003        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.53100000000000003        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.53200000000000003        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.53300000000000003        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.53400000000000003        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.53500000000000003        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.53600000000000003        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.53700000000000003        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.53800000000000003        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.53900000000000003        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.54000000000000004        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.54100000000000004        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.54200000000000004        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.54300000000000004        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.54400000000000004        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.54500000000000004        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.54600000000000004        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.54700000000000004        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.54800000000000004        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.54900000000000004        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.55000000000000004        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.55100000000000005        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.55200000000000005        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.55300000000000005        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.55400000000000005        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.55500000000000005        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.55600000000000005        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.55700000000000005        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.55800000000000005        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.55900000000000005        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.56000000000000005        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.56100000000000005        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.56200000000000006        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.56300000000000006        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.56400000000000006        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.56500000000000006        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.56600000000000006        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.56700000000000006        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.56800000000000006        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.56900000000000006        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.57000000000000006        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.57100000000000006        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.57200000000000006        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.57300000000000006        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.57400000000000007        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.57500000000000007        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.57600000000000007        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.57699999999999996        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.57799999999999996        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.57899999999999996        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.57999999999999996        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.58099999999999996        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.58199999999999996        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.58299999999999996        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.58399999999999996        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.58499999999999996        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.58599999999999997        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.58699999999999997        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.58799999999999997        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.58899999999999997        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.58999999999999997        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.59099999999999997        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.59199999999999997        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.59299999999999997        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
  0.59399999999999997        4.9999999999999982        4.9999999999999991        4.9999999999999991        4.9999999999999991        4.9999999999999991     
