  t                         alpha1                        alpha2                        alpha3                        alpha4                        alpha5
  0.20000000000000001        1.5030802903022318        1.4786430927939078        1.4544413923661270        1.4305188692744111        1.4069146680665883     
  0.20100000000000001        1.5125087980715342        1.4880577717072816        1.4638379071459524        1.4398926716650962        1.4162612724379409     
  0.20200000000000001        1.5219380374657241        1.4974735231047023        1.4732359029504101        1.4492684233171171        1.4256103304861614     
  0.20300000000000001        1.5313679858846048        1.5068903161599345        1.4826353401848855        1.4586460755330304        1.4349617852122465     
  0.20400000000000001        1.5407986214256246        1.5163081209383042        1.4920361803187121        1.4680255808372045        1.4443155809408257     
  0.20500000000000002        1.5502299228623480        1.5257269083708340        1.5014383858565097        1.4774068929451032        1.4536716632894289     
  0.20600000000000002        1.5596618696235920        1.5351466502291347        1.5108419203103021        1.4867899667333395        1.4630299791384680     
  0.20700000000000002        1.5690944417732069        1.5445673191010219        1.5202467481723827        1.4961747582104852        1.4723903995660150     
  0.20800000000000002        1.5785276199904767        1.5539888883668416        1.5296528348889142        1.5055612244886147        1.4817529608094486     
  0.20899999999999999        1.5879613855511308        1.5634113061003612        1.5390601468342375        1.5149493237555640        1.4911176127101939     
  0.20999999999999999        1.5973957203089344        1.5728345735814104        1.5484686512858770        1.5243390152478875        1.5004843062895754     
  0.21099999999999999        1.6068306066778526        1.5822586665619602        1.5578783164002139        1.5337302592244986        1.5098529937210063     
  0.21199999999999999        1.6162660276147611        1.5916835614854832        1.5672891111888223        1.5431230169409700        1.5192236283028360     
  0.21299999999999999        1.6257019666026937        1.6011092354672396        1.5767010054954369        1.5525172506244824        1.5285961644318391     
  0.21400000000000000        1.6351384076346036        1.6105356662751238        1.5861139699735467        1.5619129234494040        1.5379705575773277     
  0.21500000000000000        1.6445753351976271        1.6199628323110591        1.5955279760645893        1.5713099995134805        1.5473467642558756     
  0.21600000000000000        1.6540127342578328        1.6293907125929217        1.6049429959767341        1.5807084438146317        1.5567247420066375     
  0.21700000000000000        1.6634505902454408        1.6388192867369800        1.6143590026642378        1.5901082222283249        1.5661044493672547     
  0.21800000000000000        1.6728888890404989        1.6482485349408347        1.6237759698073548        1.5995093014855211        1.5754858458503229     
  0.21900000000000000        1.6823276169589998        1.6576784379668439        1.6331938435172040        1.6089116491511739        1.5848688919204201     
  0.22000000000000000        1.6917667607394269        1.6671089771260235        1.6426126274800454        1.6183152336032733        1.5942535489716738     
  0.22100000000000000        1.7012063075297172        1.6765401342624020        1.6520322975573958        1.6277200240124103        1.6036397793058594     
  0.22200000000000000        1.7106462448746220        1.6859718917378279        1.6614528302505132        1.6371259903218640        1.6130275461110144     
  0.22300000000000000        1.7200865607034614        1.6954042324172014        1.6708742026834476        1.6465331032281798        1.6224168134405548     
  0.22400000000000000        1.7295272433182562        1.7048371396541382        1.6802963925865402        1.6559413341622455        1.6318075461928869     
  0.22500000000000001        1.7389682813822240        1.7142705972770287        1.6897193782803575        1.6653506552708346        1.6411997100914990     
  0.22600000000000001        1.7484096639086322        1.7237045895755070        1.6991431386600568        1.6747610393986223        1.6505932716655234     
  0.22700000000000001        1.7578513802499942        1.7331391012872972        1.7085676531801577        1.6841724600706491        1.6599881982307558     
  0.22800000000000001        1.7672934200875989        1.7425741175854388        1.7179929018397229        1.6935848613284232        1.6693844578711206     
  0.22900000000000001        1.7767357734213647        1.7520096240658760        1.7274188651679301        1.7029982484297490        1.6787820194205798     
  0.23000000000000001        1.7861784305600010        1.7614456067353965        1.7368455242100256        1.7124125969558448        1.6881808524454602     
  0.23100000000000001        1.7956213821114839        1.7708820519999220        1.7462728605136508        1.7218278830924370        1.6975809272272016     
