  t                         w                         U                         I                         alpha
  0.10500000000000000        4.6143402584082276        4.9999998722951773       0.56680326520775282       0.58142385935158314     
  0.10600000000000000        4.6245938482796669        4.9999998918289510       0.55173363897478356       0.59015719452941762     
  0.10700000000000000        4.6345746249432231        4.9999999083730753       0.53706495636247131       0.59890965532533469     
  0.10800000000000000        4.6442898489433651        4.9999999223852907       0.52278654803234648       0.60768073272817591     
  0.10900000000000000        4.6537465895158689        4.9999999342533084       0.50888802558634905       0.61646993114020276     
  0.11000000000000000        4.6629517692392310        4.9999999443056851       0.49535921597783339       0.62527676524654197     
  0.11100000000000000        4.6719120848916447        4.9999999528203309       0.48219027785536550       0.63410076556328976     
  0.11200000000000000        4.6806340527632546        4.9999999600325857       0.46937163499335988       0.64294147526069734     
  0.11300000000000000        4.6891240156120144        4.9999999661417593       0.45689396609015420       0.65179844967537048     
  0.11400000000000000        4.6973881472857171        4.9999999713166421       0.44474819799281623       0.66067125598610454     
  0.11500000000000000        4.7054325954758118        4.9999999757004279       0.43292529590783918       0.66955946320601945     
  0.11600000000000001        4.7132630696577849        4.9999999794138805       0.42141686901494452       0.67846267106988101     
  0.11700000000000001        4.7208852617663331        4.9999999825595500       0.41021455221478886       0.68738048054260370     
  0.11800000000000001        4.7283047123338964        4.9999999852242905       0.39931020287319358       0.69631250320353266     
  0.11900000000000001        4.7355268145169331        4.9999999874816634       0.38869589491144058       0.70525836096412320     
  0.12000000000000000        4.7425568180152098        4.9999999893939728       0.37836391305264899       0.71421768579312772     
  0.12100000000000000        4.7493998328869891        4.9999999910139943       0.36830674722019535       0.72319011944909029     
  0.12200000000000000        4.7560608332628354        4.9999999923864236       0.35851708708419600       0.73217531321995410     
  0.12300000000000000        4.7625446609607254        4.9999999935491202       0.34898781675237672       0.74117292766959331     
  0.12400000000000000        4.7688560290050859        4.9999999945341509       0.33971200960154568       0.75018263239108574     
  0.12500000000000000        4.7749995250522828        4.9999999953686798       0.33068292324599119       0.75920410576654773     
  0.12600000000000000        4.7809796147250667        4.9999999960757142       0.32189399463926072       0.76823703473335303     
  0.12700000000000000        4.7868006448583600        4.9999999966747408       0.31333883530590173       0.77728111455657156     
  0.12800000000000000        4.7924668466587637        4.9999999971822708       0.30501122669966146       0.78633604860746154     
  0.12900000000000000        4.7979823387800549        4.9999999976122877       0.29690511568493122       0.79540154814784825     
  0.13000000000000000        4.8033511303169076        4.9999999979766336       0.28901461013806873       0.80447733212023975     
  0.13100000000000001        4.8085771237190178        4.9999999982853458       0.28133397466559434       0.81356312694352606     
  0.13200000000000001        4.8136641176277291        4.9999999985469241       0.27385762643612166       0.82265866631410856     
  0.13300000000000001        4.8186158096372358        4.9999999987685690       0.26658013112293688       0.83176369101232339     
  0.13400000000000001        4.8234357989823531        4.9999999989563806       0.25949619895445630       0.84087794871400734     
  0.13500000000000001        4.8281275891548079        4.9999999991155288       0.25260068086958998       0.85000119380708139     
  0.13600000000000001        4.8326945904499548        4.9999999992503881       0.24588856477529372       0.85913318721300924     
  0.13700000000000001        4.8371401224457644        4.9999999993646691       0.23935497190361588       0.86827369621300299     
  0.13800000000000001        4.8414674164158775        4.9999999994615143       0.23299515326556616       0.87742249427885743     
  0.13900000000000001        4.8456796176784822        4.9999999995435847       0.22680448619919200       0.88657936090827594     
  0.14000000000000001        4.8497797878827313        4.9999999996131370       0.22077847100955350       0.89574408146458462     
  0.14100000000000001        4.8537709070017829        4.9999999996720819       0.21491272803968733       0.90491644703700280     
  0.14200000000000002        4.8576558774825092        4.9999999997220366       0.20920299157199745       0.91409625414973161     
  0.14300000000000002        4.8614375254138498        4.9999999997643743       0.20364510811127104       0.92328330468004316     
  0.14400000000000002        4.8651186015314956        4.9999999998002584       0.19823503490816580       0.93247740578784755     
  0.14499999999999999        4.8687017832297137        4.9999999998306732       0.19296883700260983       0.94167836977465191     
  0.14599999999999999        4.8721896765193833        4.9999999998564517       0.18784268434610868       0.95088601394629424     
  0.14699999999999999        4.8755848179336674        4.9999999998783018       0.18285284900107773       0.96010016047934288     
  0.14799999999999999        4.8788896763827525        4.9999999998968239       0.17799570241500628       0.96932063629107212     
  0.14899999999999999        4.8821010717222135        4.9999999999123776       0.17327591844363285       0.97854766432519180     
  0.14999999999999999        4.8852273300095268        4.9999999999255866       0.16868126029191985       0.98778066088422700     
  0.15100000000000000        4.8882707072940974        4.9999999999368043       0.16420841224779814       0.99701946780804274     
  0.15200000000000000        4.8912333998574757        4.9999999999463318       0.15985414643978035        1.0062639311265242     
  0.15300000000000000        4.8941175457964636        4.9999999999544231       0.15561532051028662        1.0155139009485945     
  0.15400000000000000        4.8969252265643046        4.9999999999612932       0.15148887535058425        1.0247692313541692     
  0.15500000000000000        4.8996584684710589        4.9999999999671285       0.14747183289571203        1.0340297802889711     
  0.15600000000000000        4.9023192441442340        4.9999999999720846       0.14356129397780124        1.0432954094621343     
  0.15700000000000000        4.9049094739507444        4.9999999999762936       0.13975443623624598        1.0525659842465176     
  0.15800000000000000        4.9074310273811985        4.9999999999798668       0.13604851208321880        1.0618413735816592     
  0.15900000000000000        4.9098857243975358        4.9999999999829026       0.13244084672306924        1.0711214498792998     
  0.16000000000000000        4.9122753367449663        4.9999999999854818       0.12892883622417009        1.0804060889314095     
  0.16100000000000000        4.9146015892291643        4.9999999999876703       0.12550994564183521        1.0896951698206510     
  0.16200000000000001        4.9168661609596391        4.9999999999895284       0.12218170719094774        1.0989885748332113     
  0.16300000000000001        4.9190706865601710        4.9999999999911076       0.11894171846698484        1.1082861893739475     
  0.16400000000000001        4.9212167573471959        4.9999999999924478       0.11578764071415562        1.1175879018837711     
  0.16500000000000001        4.9233059224769713        4.9999999999935865       0.11271719713941152        1.1268936037592316     
  0.16600000000000001        4.9253396900623709        4.9999999999945537       0.10972817127110501        1.1362031892742204     
  0.16700000000000001        4.9273195282600861        4.9999999999953744       0.10681840536112440        1.1455165555037525     
  0.16800000000000001        4.9292468663290459        4.9999999999960725       0.10398579882934207        1.1548336022497678     
  0.16900000000000001        4.9311230956607988        4.9999999999966649       0.10122830674926801        1.1641542319688956     
  0.17000000000000001        4.9329495707826014        4.9999999999971667       9.85439383738077185E-002   1.1734783497021313     
  0.17100000000000001        4.9347276103339457        4.9999999999975939       9.59307557000676631E-002   1.1828058630063807     
  0.17200000000000001        4.9364584980172141        4.9999999999979563       9.33868720721730550E-002   1.1921366818878110     
  0.17300000000000001        4.9381434835231666        4.9999999999982645       9.09104508210908102E-002   1.2014707187369713     
  0.17400000000000002        4.9397837834319045        4.9999999999985256       8.84997039404773894E-002   1.2108078882656303     
  0.17500000000000002        4.9413805820899759        4.9999999999987477       8.61528907975995101E-002   1.2201481074452869     
  0.17599999999999999        4.9429350324642520        4.9999999999989360       8.38683168783984218E-002   1.2294912954473090     
  0.17699999999999999        4.9444482569731854        4.9999999999990976       8.16443325657887631E-002   1.2388373735846592     
  0.17799999999999999        4.9459213482960456        4.9999999999992335       7.94793319503220991E-002   1.2481862652551627     
