  t                         alpha1                        alpha2                        alpha3                        alpha4                        alpha5
  7.69999999999999990E-002  0.48707178969847142       0.51840109819729485       0.39738843679375313       0.30960106211038585       0.25082553879854558     
  7.79999999999999999E-002  0.49916984815537629       0.52962257341633334       0.40544471463940102       0.31570167147077377       0.25569932629996595     
  7.90000000000000008E-002  0.51139703124253577       0.54091246384416269       0.41353542236350416       0.32182403544815780       0.26058889380825501     
  8.00000000000000017E-002  0.52375269065307606       0.55226957003637289       0.42165971037346850       0.32796754220742702       0.26549376911730627     
  8.10000000000000026E-002  0.53623618133726314       0.56369271357557516       0.42981674932688257       0.33413159712908375       0.27041349415849220     
  8.20000000000000034E-002  0.54884686148653061       0.57518073670285530       0.43800573155852779       0.34031562232515256       0.27534762457774908     
  8.30000000000000043E-002  0.56158409251762831       0.58673250195568749       0.44622586905151113       0.34651905616875689       0.28029572789489215     
  8.40000000000000052E-002  0.57444723905688033       0.59834689181219325       0.45447639322950129       0.35274135089856873       0.28525738742572687     
  8.50000000000000061E-002  0.58743566892456667       0.61002280834163458       0.46275655448704217       0.35898197799920900       0.29023219761280139     
  8.60000000000000070E-002  0.60054875311942890       0.62175917286102955       0.47106561871653208       0.36524042202266582       0.29521976503181041     
  8.70000000000000079E-002  0.61378586580330796       0.63355492559778970       0.47940287581891783       0.37151618201376396       0.30021970802861381     
  8.79999999999999949E-002  0.62714638104450748       0.64540902546231149       0.48776763046720240       0.37780877110268957       0.30523165636712568     
  8.89999999999999958E-002  0.64062968244171370       0.65732044932209965       0.49615920448304718       0.38411771610897599       0.31025525088772204     
  8.99999999999999967E-002  0.65423515365992191       0.66928819190630173       0.50457693641386236       0.39044255715660448       0.31529014317586446     
  9.09999999999999976E-002  0.66796218145715980       0.68131126558747501       0.51302018112032699       0.39678284729995256       0.32033599524065132     
  9.19999999999999984E-002  0.68181015566895098       0.69338870007278652       0.52148830937411494       0.40313815216021986       0.32539247920297826     
  9.29999999999999993E-002  0.69577846919285558       0.70551953590583028       0.52998070746551484       0.40950804957212156       0.33045927699302985     
  9.40000000000000002E-002  0.70986651797308742       0.71770284268542772       0.53849677682070973       0.41589212924047969       0.33553608005680469     
  9.50000000000000011E-002  0.72407370098521129       0.72993770053727958       0.54703593362852476       0.42228999240648502       0.34062258911095727     
  9.60000000000000020E-002  0.73839942022091642       0.74222320571141120       0.55559760847635431       0.42870125152333222       0.34571851364243422     
  9.70000000000000029E-002  0.75284308067286554       0.75455847029960466       0.56418124599508090       0.43512552997625109       0.35082357181010382     
  9.80000000000000038E-002  0.76740409031962098       0.76694262195778418       0.57278630451274659       0.44156246148921441       0.35593749021977616     
  9.90000000000000047E-002  0.78208186011064817       0.77937480363326495       0.58141225571674404       0.44801169010107578       0.36106000326394377     
  0.10000000000000001       0.79687580395139468       0.79185417329677854       0.59005858437940117       0.45447286881342042       0.36619085248940875     
  0.10100000000000001       0.81178533868844083       0.80437990367919188       0.59872478600836165       0.46094566040932783       0.37132978349543816     
  0.10200000000000001       0.82680988409472855       0.81695118201284178       0.60741036878772048       0.46742973830750173       0.37647655935221525     
  0.10300000000000001       0.84194886282978276       0.82956720865375599       0.61611485458404547       0.47392478511806402       0.38163094541865350     
  0.10400000000000001       0.85720170020334219       0.84222719242147559       0.62483777706831634       0.48043048563105678       0.38679271407164545     
  0.10500000000000000       0.87256782440091463       0.85493036263922018       0.63357868142431240       0.48694654694187151       0.39196164449617055     
  0.10600000000000000       0.88804666648735087       0.86767596214202225       0.64233712406421195       0.49347267779736936       0.39713752248167988     
  0.10700000000000000       0.90363766039286386       0.88046324703986378       0.65111267235122938       0.50000859513161866       0.40232014022456886     
  0.10800000000000000       0.91934024289914273       0.89329148648496293       0.65990490432911419       0.50655402383576364       0.40750929613655801     
  0.10900000000000000       0.93515385362556513       0.90615996244313834       0.66871339813259145       0.51310869653436098       0.41270479465880472     
  0.11000000000000000       0.95107792088721177       0.91906796952277658       0.67753776281369371       0.51967235336800266       0.41790644608157190     
  0.11100000000000000       0.96711190358160770       0.93201481449882939       0.68637760701515615       0.52624474178204950       0.42311406636929200     
  0.11200000000000000       0.98325525000170688       0.94499981624727014       0.69523254902979426       0.53282561632129988       0.42832747699086116     
  0.11300000000000000       0.99950741120853392       0.95802230559876278       0.70410221656257033       0.53941473843043275       0.43354650475500894     
  0.11400000000000000        1.0158678410172808       0.97108162512866358       0.71298624649852615       0.54601187626005698       0.43877098165059158     
  0.11500000000000000        1.0323359959834728       0.98417712895072140       0.72188428467643584       0.55261680447821182       0.44400074469166140     
  0.11600000000000001        1.0489113353892014       0.99730818251440556       0.73079598566803938       0.55922930408716842       0.44923563576716941     
  0.11700000000000001        1.0655933212294335        1.0104741624058031       0.73972101256271683       0.56584916224537751       0.45447550149516341     
  0.11800000000000001        1.0823814181983844        1.0236744561520179       0.74865903675747403       0.57247617209442181       0.45972019308134560     
