  t                         w                         U                         I                         alpha
  0.14100000000000001        4.8485236188866363        5.0000000000000000       0.20615935299410160       0.95717411144144982     
  0.14200000000000002        4.8522540425872620        5.0000000000000000       0.20108224637942304       0.96634386617022039     
  0.14300000000000002        4.8558925065080327        5.0000000000000000       0.19613029702415033       0.97552058261899677     
  0.14400000000000002        4.8594412796667035        5.0000000000000000       0.19130041679504126       0.98470408901413808     
  0.14499999999999999        4.8628969824714341        5.0000000000000000       0.18659720531660315       0.99389464120414739     
  0.14599999999999999        4.8662677414156112        5.0000000000000000       0.18200960243143521        1.0030916239812508     
  0.14699999999999999        4.8695556436019878        5.0000000000000000       0.17753476759270170        1.0122948793434927     
  0.14799999999999999        4.8727627248650069        5.0000000000000000       0.17316993002975115        1.0215042531701324     
  0.14899999999999999        4.8758909710299596        5.0000000000000000       0.16891238703438372        1.0307195951263208     
  0.14999999999999999        4.8789423191412160        5.0000000000000000       0.16475950228923175        1.0399407585701170     
  0.15100000000000000        4.8819186586603065        5.0000000000000000       0.16070870423717720        1.0491676004617911     
  0.15200000000000000        4.8848218326345716        5.0000000000000000       0.15675748449080740        1.0583999812753502     
  0.15300000000000000        4.8876536388371212        5.0000000000000000       0.15290339628093955        1.0676377649122406     
  0.15400000000000000        4.8904158308788022        5.0000000000000000       0.14914405294323352        1.0768808186171679     
  0.15500000000000000        4.8931101192928477        5.0000000000000000       0.14547712644197675        1.0861290128959826     
  0.15600000000000000        4.8957381725929050        5.0000000000000000       0.14190034593011344        1.0953822214355853     
  0.15700000000000000        4.8983016183050747        5.0000000000000000       0.13841149634464114        1.1046403210257956     
  0.15800000000000000        4.9008020439746049        5.0000000000000000       0.13500841703649241        1.1139031914831432     
  0.15900000000000000        4.9032409981478695        5.0000000000000000       0.13168900043406961        1.1231707155765269     
  0.16000000000000000        4.9056199913302256        5.0000000000000000       0.12845119073960223        1.1324427789547009     
  0.16100000000000000        4.9079404969203502        5.0000000000000000       0.12529298265750294        1.1417192700755423     
  0.16200000000000001        4.9102039521216367        5.0000000000000000       0.12221242015397200        1.1510000801370550     
  0.16300000000000001        4.9124117588312020        5.0000000000000000       0.11920759524704834        1.1602851030100680     
  0.16400000000000001        4.9145652845070673        5.0000000000000000       0.11627664682638252        1.1695742351725869     
  0.16500000000000001        4.9166658630140407        5.0000000000000000       0.11341775950198334        1.1788673756457559     
  0.16600000000000001        4.9187147954488246        5.0000000000000000       0.11062916248125355        1.1881644259313944     
  0.16700000000000001        4.9207133509448671        5.0000000000000000       0.10790912847358554        1.1974652899510685     
  0.16800000000000001        4.9226627674574388        5.0000000000000000       0.10525597262186752        1.2067698739866546     
  0.16900000000000001        4.9245642525294366        5.0000000000000000       0.10266805146023492        1.2160780866223670     
  0.17000000000000001        4.9264189840383725        5.0000000000000000       0.10014376189740266        1.2253898386882063     
  0.17100000000000001        4.9282281109250299        5.0000000000000000       9.76815402249796155E-002   1.2347050432048001     
  0.17200000000000001        4.9299927539042132        5.0000000000000000       9.52798611501297632E-002   1.2440236153295929     
  0.17300000000000001        4.9317140061580451        5.0000000000000000       9.29372368519943703E-002   1.2533454723043631     
  0.17400000000000002        4.9333929340122458        5.0000000000000000       9.06522160612826255E-002   1.2626705334040251     
  0.17500000000000002        4.9350305775957919        5.0000000000000000       8.84233831624700456E-002   1.2719987198866909     
