  t                         alpha1                        alpha2                        alpha3                        alpha4                        alpha5
  3.89999999999999999E-002  1.90542266855057291E-003  6.74099831148345791E-002  6.93698794214949871E-002  6.08069373020790477E-002  5.23779070671453045E-002
  4.00000000000000008E-002  3.09940836340238555E-003  7.19412393953645507E-002  7.36189532645251526E-002  6.43944277078494220E-002  5.54086138667021152E-002
  4.10000000000000017E-002  4.36116010977180991E-003  7.65987382075993400E-002  7.79671675047090701E-002  6.80587044868603969E-002  5.85012200744899138E-002
  4.20000000000000026E-002  5.69040669041137245E-003  8.13802648423167380E-002  8.24119916869425762E-002  7.17975003867458023E-002  6.16537667526538893E-002
  4.30000000000000035E-002  7.08685996203438015E-003  8.62836277127911333E-002  8.69509462243458070E-002  7.56086066733488993E-002  6.48643524114173586E-002
  4.39999999999999974E-002  8.55008345712929968E-003  9.13066610550715418E-002  9.15816087992599448E-002  7.94898698261589237E-002  6.81311232656348909E-002
  4.49999999999999983E-002  1.00799321686473441E-002  9.64472287640849718E-002  9.63016047401955011E-002  8.34391906471784045E-002  7.14522779194511765E-002
  4.59999999999999992E-002  1.16761064409369383E-002  0.10170322061946231       0.10110861223425385       8.74545258591183094E-002  7.48260669855524557E-002
  4.70000000000000001E-002  1.33383020718581061E-002  0.10707255619916868       0.10600036131896261       9.15338876999457346E-002  7.82507924877945682E-002
  4.80000000000000010E-002  1.50662112701803411E-002  0.11255318573424991       0.11097463684251194       9.56753433292928668E-002  8.17248071132334192E-002
  4.90000000000000019E-002  1.68595234643220612E-002  0.11814309073260032       0.11602927868142357       9.98770158257548529E-002  8.52465146457559442E-002
  5.00000000000000028E-002  1.87179259853222993E-002  0.12384028544027538       0.12116217366644394       0.10413707708092415       8.88143642379519288E-002
  5.10000000000000037E-002  2.06411046434125008E-002  0.12964281351292115       0.12637126390040665       0.10845375435509394       9.24268552519766778E-002
  5.20000000000000046E-002  2.26287442145764461E-002  0.13554875236484540       0.13165454252611497       0.11282532618460683       9.60825337281254743E-002
  5.29999999999999985E-002  2.46805288509605938E-002  0.14155621152255415       0.13701005293460403       0.11725012129025644       9.97799912595349475E-002
  5.39999999999999994E-002  2.67961424268626479E-002  0.14766333254827857       0.14243588790800429       0.12172651744545530       0.10351786473946278     
  5.50000000000000003E-002  2.89752688302195686E-002  0.15386828888598125       0.14793018968433824       0.12625294132169843       0.10729483247592045     
  5.60000000000000012E-002  3.12175922079898187E-002  0.16016928609163086       0.15349114608347897       0.13082786421730588       0.11110961568077304     
  5.70000000000000021E-002  3.35227971725293936E-002  0.16656456020928295       0.15911699239264523       0.13544980397566145       0.11496097648483102     
  5.80000000000000029E-002  3.58905689749706991E-002  0.17305237878307950       0.16480600949787119       0.14011732281129582       0.11884765741559787     
  5.90000000000000038E-002  3.83205936506867822E-002  0.17963104010142938       0.17055652287964312       0.14482894846728556       0.12276856033461434     
  5.99999999999999978E-002  4.08125581411416735E-002  0.18629887281992691       0.17636678923324955       0.14958340836211129       0.12672256309029209     
  6.09999999999999987E-002  4.33661503957656624E-002  0.19305423527899632       0.18223533514435816       0.15437939067085321       0.13070857986310058     
  6.19999999999999996E-002  4.59810594569334541E-002  0.19989532437557597       0.18816061374539056       0.15921562327339428       0.13472556006175998     
  6.30000000000000004E-002  4.86569755306518539E-002  0.20682074878052825       0.19414111874186149       0.16409087262624578       0.13877248724164232     
  6.40000000000000013E-002  5.13935900451595040E-002  0.21382895443666369       0.20017538342359673       0.16900394265495694       0.14284837804681705     
  6.50000000000000022E-002  5.41905956993043170E-002  0.22091841552232983       0.20626197968829701       0.17395367366863604       0.14695228130316013     
  6.60000000000000031E-002  5.70476865022769911E-002  0.22808763400033347       0.21239951707926435       0.17893894144545666       0.15108327731156013     
  6.70000000000000040E-002  5.99645577263109367E-002  0.23533513916441276       0.21858664183872847       0.18395865644891035       0.15524047582677711     
  6.80000000000000049E-002  6.29409056276691303E-002  0.24265948718495986       0.22482203617826946       0.18901176180543333       0.15942301571168388     
  6.90000000000000058E-002  6.59764283198798901E-002  0.25005926065540612       0.23110441733221448       0.19409723292029429       0.16363006400812180     
  7.00000000000000067E-002  6.90708253229911084E-002  0.25753306814044735       0.23743253608748963       0.19921407651468054       0.16786081482656887     
  7.10000000000000075E-002  7.22237975764632445E-002  0.26507954372707493       0.24380517631467863       0.20436132968796586       0.17211448828761319     
