t	v	
0.005370	-0.297893	
0.005380	-0.305473	
0.005390	-0.309726	
0.005400	-0.310652	
0.005410	-0.308285	
0.005420	-0.302693	
0.005430	-0.293979	
0.005440	-0.282276	
0.005450	-0.267747	
0.005460	-0.250582	
0.005470	-0.230998	
0.005480	-0.209232	
0.005490	-0.185542	
0.005500	-0.160204	
0.005510	-0.133506	
0.005520	-0.105766	
0.005530	-0.077246	
0.005540	-0.048301	
0.005550	-0.019320	
0.005560	0.009244	
0.005570	0.037392	
0.005580	0.064760	
0.005590	0.091120	
0.005600	0.116223	
0.005610	0.139718	
0.005620	0.161427	
0.005630	0.181146	
0.005640	0.198691	
0.005650	0.213905	
0.005660	0.226658	
0.005670	0.236849	
0.005680	0.244404	
0.005690	0.249277	
0.005700	0.251452	
0.005710	0.250943	
0.005720	0.247791	
0.005730	0.242063	
0.005740	0.233854	
0.005750	0.223283	
0.005760	0.210493	
0.005770	0.195649	
0.005780	0.178933	
0.005790	0.160547	
0.005800	0.140707	
0.005810	0.119640	
0.005820	0.097596	
0.005830	0.074794	
0.005840	0.051514	
0.005850	0.028030	
0.005860	0.004733	
0.005870	-0.018266	
0.005880	-0.040767	
0.005890	-0.062523	
0.005900	-0.083355	
0.005910	-0.103066	
0.005920	-0.121403	
0.005930	-0.138216	
0.005940	-0.153349	
0.005950	-0.166662	
0.005960	-0.178039	
0.005970	-0.187385	
0.005980	-0.194629	
0.005990	-0.199721	
0.006000	-0.202637	
0.006010	-0.203373	
0.006020	-0.201952	
0.006030	-0.198416	
0.006040	-0.192831	
0.006050	-0.185282	
0.006060	-0.175876	
0.006070	-0.164735	
0.006080	-0.152000	
0.006090	-0.137827	
0.006100	-0.122384	
0.006110	-0.105872	
0.006120	-0.088436	
0.006130	-0.070284	
0.006140	-0.051643	
0.006150	-0.032719	
0.006160	-0.013800	
0.006170	0.004868	
0.006180	0.023211	
0.006190	0.041086	
0.006200	0.058268	
0.006210	0.074622	
0.006220	0.089992	
0.006230	0.104234	
0.006240	0.117161	
0.006250	0.128679	
0.006260	0.138687	
0.006270	0.147099	
0.006280	0.153846	
0.006290	0.158878	
0.006300	0.162166	
0.006310	0.163698	
0.006320	0.163480	
0.006330	0.161538	
0.006340	0.157916	
0.006350	0.152672	
0.006360	0.145884	
0.006370	0.137645	
0.006380	0.128059	
0.006390	0.117246	
0.006400	0.105359	
0.006410	0.092497	
0.006420	0.078813	
0.006430	0.064474	
0.006440	0.049658	
0.006450	0.034524	
0.006460	0.019267	
0.006470	0.004121	
0.006480	-0.010779	
0.006490	-0.025363	
0.006500	-0.039493	
0.006510	-0.053023	
0.006520	-0.065797	
0.006530	-0.077719	
0.006540	-0.088676	
