w	A	
11481.536215	-39.570404	
11748.975549	-38.347869	
12022.644346	-37.067992	
12302.687708	-35.967828	
12589.254118	-35.525959	
12882.495517	-36.152040	
13182.567386	-37.651373	
13489.628826	-39.502185	
13803.842646	-41.365945	
14125.375446	-43.117682	
14454.397707	-44.731899	
14791.083882	-46.216840	
15135.612484	-47.589290	
15488.166189	-48.866254	
15848.931925	-50.062621	
16218.100974	-51.190817	
16595.869074	-52.261046	
16982.436525	-53.281667	
17378.008287	-54.259550	
17782.794100	-55.200378	
18197.008586	-56.108880	
18620.871367	-56.989023	
19054.607180	-57.844161	
19498.445998	-58.677143	
19952.623150	-59.490411	
20417.379447	-60.286067	
20892.961309	-61.065933	
21379.620895	-61.831596	
21877.616239	-62.584442	
22387.211386	-63.325692	
22908.676528	-64.056423	
23442.288153	-64.777588	
23988.329190	-65.490035	
24547.089157	-66.194522	
25118.864315	-66.891724	
25703.957828	-67.582249	
26302.679919	-68.266643	
26915.348039	-68.945400	
27542.287033	-69.618964	
28183.829313	-70.287740	
28840.315031	-70.952093	
29512.092267	-71.612357	
30199.517204	-72.268835	
30902.954325	-72.921805	
31622.776602	-73.571518	
32359.365693	-74.218208	
33113.112148	-74.862087	
33884.415614	-75.503349	
34673.685045	-76.142175	
35481.338923	-76.778728	
36307.805477	-77.413162	
37153.522910	-78.045616	
38018.939632	-78.676219	
38904.514499	-79.305093	
39810.717055	-79.932347	
40738.027780	-80.558084	
41686.938347	-81.182399	
42657.951880	-81.805381	
43651.583224	-82.427111	
44668.359215	-83.047667	
45708.818961	-83.667118	
46773.514129	-84.285531	
47863.009232	-84.902967	
48977.881937	-85.519485	
50118.723363	-86.135136	
51286.138399	-86.749972	
52480.746025	-87.364039	
53703.179637	-87.977381	
54954.087386	-88.590039	
56234.132519	-89.202051	
57543.993734	-89.813454	
58884.365536	-90.424280	
60255.958607	-91.034561	
61659.500186	-91.644327	
63095.734448	-92.253606	
64565.422903	-92.862424	
66069.344801	-93.470806	
67608.297539	-94.078774	
69183.097092	-94.686351	
70794.578438	-95.293558	
72443.596007	-95.900412	
74131.024130	-96.506934	
75857.757503	-97.113139	
77624.711663	-97.719045	
79432.823472	-98.324665	
81283.051616	-98.930016	
83176.377110	-99.535111	
85113.803820	-100.139961	
87096.358996	-100.744581	
89125.093813	-101.348981	
91201.083936	-101.953172	
93325.430080	-102.557164	
95499.258602	-103.160968	
97723.722096	-103.764593	
100000.000000	-104.368046	
102329.299228	-104.971338	
104712.854805	-105.574475	
107151.930524	-106.177465	
109647.819614	-106.780316	
112201.845430	-107.383033	
114815.362150	-107.985624	
117489.755494	-108.588094	
120226.443462	-109.190449	
123026.877081	-109.792695	
125892.541179	-110.394836	
128824.955169	-110.996879	
131825.673856	-111.598826	
134896.288259	-112.200684	
138038.426460	-112.802456	
141253.754462	-113.404146	
144543.977075	-114.005758	
147910.838817	-114.607296	
151356.124844	-115.208763	
154881.661891	-115.810163	
158489.319246	-116.411498	
162181.009736	-117.012771	
165958.690744	-117.613986	
169824.365246	-118.215145	
173780.082875	-118.816251	
177827.941004	-119.417306	
181970.085861	-120.018312	
186208.713666	-120.619272	
190546.071796	-121.220188	
194984.459976	-121.821062	
199526.231497	-122.421896	
204173.794467	-123.022691	
208929.613085	-123.623450	
213796.208950	-124.224173	
218776.162395	-124.824864	
223872.113857	-125.425522	
229086.765277	-126.026150	
234422.881532	-126.626749	
239883.291902	-127.227320	
245470.891569	-127.827864	
251188.643151	-128.428383	
257039.578277	-129.028878	
263026.799190	-129.629350	
269153.480393	-130.229799	
275422.870334	-130.830227	
281838.293126	-131.430636	
288403.150313	-132.031024	
295120.922667	-132.631394	
301995.172040	-133.231747	
309029.543251	-133.832082	
316227.766017	-134.432402	
323593.656930	-135.032705	
331131.121483	-135.632994	
338844.156139	-136.233269	
346736.850453	-136.833529	
354813.389234	-137.433777	
363078.054770	-138.034012	
371535.229097	-138.634235	
380189.396321	-139.234446	
389045.144994	-139.834647	
398107.170553	-140.434836	
407380.277804	-141.035015	
416869.383470	-141.635184	
426579.518802	-142.235344	
436515.832240	-142.835494	
446683.592151	-143.435635	
457088.189615	-144.035768	
467735.141287	-144.635892	
478630.092323	-145.236009	
489778.819368	-145.836117	
501187.233627	-146.436218	
512861.383991	-147.036312	
524807.460250	-147.636398	
537031.796370	-148.236477	
549540.873858	-148.836550	
562341.325190	-149.436616	
575439.937337	-150.036675	
588843.655356	-150.636728	
602559.586074	-151.236774	
616595.001861	-151.836815	
630957.344480	-152.436849	
645654.229035	-153.036877	
660693.448008	-153.636900	
676082.975392	-154.236916	
691830.970919	-154.836927	
707945.784384	-155.436931	
724435.960075	-156.036930	
741310.241301	-156.636923	
758577.575029	-157.236910	
776247.116629	-157.836891	
794328.234724	-158.436867	
812830.516164	-159.036836	
831763.771103	-159.636799	
851138.038202	-160.236756	
870963.589956	-160.836707	
891250.938134	-161.436651	
912010.839356	-162.036589	
933254.300797	-162.636521	
954992.586021	-163.236446	
977237.220956	-163.836364	
1000000.000000	-164.436274	
