t	f	
0.004440	-0.016434	
0.004450	0.000273	
0.004460	0.016645	
0.004470	0.032430	
0.004480	0.047389	
0.004490	0.061304	
0.004500	0.074017	
0.004510	0.085298	
0.004520	0.094981	
0.004530	0.102932	
0.004540	0.109044	
0.004550	0.113313	
0.004560	0.115599	
0.004570	0.115632	
0.004580	0.113790	
0.004590	0.110728	
0.004600	0.105921	
0.004610	0.099643	
0.004620	0.091964	
0.004630	0.082991	
0.004640	0.072919	
0.004650	0.061915	
0.004660	0.050163	
0.004670	0.037855	
0.004680	0.025190	
0.004690	0.012372	
0.004700	-0.000394	
0.004710	-0.012908	
0.004720	-0.024975	
0.004730	-0.036409	
0.004740	-0.047036	
0.004750	-0.056698	
0.004760	-0.065254	
0.004770	-0.072582	
0.004780	-0.078583	
0.004790	-0.083233	
0.004800	-0.086421	
0.004810	-0.088060	
0.004820	-0.088010	
0.004830	-0.086596	
0.004840	-0.084152	
0.004850	-0.080419	
0.004860	-0.075606	
0.004870	-0.069749	
0.004880	-0.062939	
0.004890	-0.055270	
0.004900	-0.046907	
0.004910	-0.037986	
0.004920	-0.028656	
0.004930	-0.019068	
0.004940	-0.009377	
0.004950	0.000264	
0.004960	0.009703	
0.004970	0.018795	
0.004980	0.027399	
0.004990	0.035386	
0.005000	0.042640	
0.005010	0.049054	
0.005020	0.054577	
0.005030	0.059107	
0.005040	0.062577	
0.005050	0.064929	
0.005060	0.066080	
0.005070	0.066057	
0.005080	0.065010	
0.005090	0.063081	
0.005100	0.060218	
0.005110	0.056587	
0.005120	0.052197	
0.005130	0.047106	
0.005140	0.041397	
0.005150	0.035164	
0.005160	0.028512	
0.005170	0.021553	
0.005180	0.014399	
0.005190	0.007175	
0.005200	-0.000006	
0.005210	-0.007032	
0.005220	-0.013793	
0.005230	-0.020203	
0.005240	-0.026158	
0.005250	-0.031570	
0.005260	-0.036362	
0.005270	-0.040466	
0.005280	-0.043824	
0.005290	-0.046383	
0.005300	-0.048093	
0.005310	-0.048888	
0.005320	-0.048899	
0.005330	-0.048153	
0.005340	-0.046683	
0.005350	-0.044534	
0.005360	-0.041828	
0.005370	-0.038585	
0.005380	-0.034839	
0.005390	-0.030645	
0.005400	-0.026071	
0.005410	-0.021193	
0.005420	-0.016091	
0.005430	-0.010847	
0.005440	-0.005546	
0.005450	-0.000273	
0.005460	0.004889	
0.005470	0.009863	
0.005480	0.014571	
0.005490	0.018943	
0.005500	0.022915	
0.005510	0.026430	
0.005520	0.029435	
0.005530	0.031887	
0.005540	0.033744	
0.005550	0.034962	
0.005560	0.035579	
0.005570	0.035625	
0.005580	0.035117	
0.005590	0.034080	
0.005600	0.032548	
0.005610	0.030558	
0.005620	0.028188	
0.005630	0.025467	
0.005640	0.022432	
0.005650	0.019127	
0.005660	0.015606	
0.005670	0.011924	
0.005680	0.008142	
0.005690	0.004320	
0.005700	0.000518	
0.005710	-0.003204	
0.005720	-0.006789	
0.005730	-0.010182	
0.005740	-0.013332	
0.005750	-0.016192	
0.005760	-0.018720	
0.005770	-0.020877	
0.005780	-0.022631	
0.005790	-0.023947	
0.005800	-0.024843	
0.005810	-0.025326	
0.005820	-0.025401	
0.005830	-0.025079	
0.005840	-0.024379	
0.005850	-0.023323	
0.005860	-0.021938	
0.005870	-0.020256	
0.005880	-0.018315	
0.005890	-0.016161	
0.005900	-0.013823	
0.005910	-0.011337	
0.005920	-0.008741	
0.005930	-0.006076	
0.005940	-0.003385	
0.005950	-0.000708	
0.005960	0.001911	
0.005970	0.004432	
0.005980	0.006818	
0.005990	0.009031	
0.006000	0.011038	
0.006010	0.012809	
0.006020	0.014317	
0.006030	0.015547	
0.006040	0.016498	
0.006050	0.017164	
